coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2021008101,Business and Sustainability (Classroom & Asynchronous e-Learning),Republic Polytechnic,esg_reporting,510.0,153.0,397.8,119.34,,,,19.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2021008101,False
TGS-2024044686,"Communicating Environmental, Social and Governance (ESG) and Sustainability",Republic Polytechnic,esg_reporting,510.0,153.0,397.8,119.34,3.5,11.0,19.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024044686,False
TGS-2022013702,"Environmental, Social, and Governance (ESG) Reporting & Disclosure",Republic Polytechnic,esg_reporting,510.0,153.0,397.8,119.34,4.0,54.0,65.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022013702,False
TGS-2024044409,"Environmental, Social, and Governance - ESG Reporting & Disclosure (Asynchronous e-learning and Classroom)",Republic Polytechnic,esg_reporting,510.0,153.0,397.8,119.34,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024044409,False
TGS-2022014719,Bridging the Sustainability Gap for Innovation and Growth (Classroom and Synchronous e-Learning),Nanyang Polytechnic,esg_reporting,525.0,157.5,409.5,122.85000000000001,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022014719,False
TGS-2024046851,Sustainable Agriculture : Clean and Green Standard for Urban Farms,Republic Polytechnic,esg_reporting,525.0,157.5,409.5,122.85000000000001,,,10.0,22.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046851,False
TGS-2024048592,CyberSense: Empowering a Sustainable and Secure Workplace,ACCTRAIN ACADEMY PTE. LTD.,esg_reporting,550.0,275.0,429.0,214.5,4.5,471.0,563.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024048592,False
TGS-2024048196,Sustainability Legislation Framework of Singapore,Republic Polytechnic,esg_reporting,550.0,165.0,429.0,128.70000000000002,4.5,22.0,22.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024048196,False
TGS-2024046550,Environmental Social and Governance Sustainability Risk Management,TUV SUD PSB PTE. LTD.,esg_reporting,560.0,280.0,436.8,218.4,4.0,1.0,6.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046550,False
TGS-2023018007,"Introduction to Environmental, Social and Governance (ESG) for FinTech (Classroom & Asynchronous e-learning)",Ngee Ann Polytechnic,esg_reporting,560.0,168.0,436.8,131.04,2.5,3.0,20.0,10.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023018007,False
TGS-2024043087,Sustainability and Innovation Strategic Planning,TUV SUD PSB PTE. LTD.,esg_reporting,562.5,281.25,438.75,219.375,,,,15.5,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024043087,False
TGS-2022015085,PWM-Waste Management: Perform waste sorting at a material recovery facility,Waste Management and Recycling Association of Singapore,esg_reporting,575.0,287.5,448.5,224.25,4.5,205.0,304.0,17.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022015085,False
TGS-2025052506,"(SCTP Module) Climate Change and the Environment (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,esg_reporting,576.0,172.8,449.28000000000003,134.78400000000002,,,12.0,30.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052506,False
TGS-2023021558,Future Foods and Sustainable Nutrition,Temasek Polytechnic,esg_reporting,580.0,174.0,452.40000000000003,135.72,4.5,14.0,14.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021558,False
TGS-2025056110,Green Procurement for Sustainable Business,NTUC LEARNINGHUB PTE. LTD.,esg_reporting,580.0,290.0,452.40000000000003,226.20000000000002,,,,12.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056110,False
TGS-2022014882,PWM-Waste Management & PWM-Cleaning: Apply workplace learning techniques and provide on-the-job training to enhance employees' development,Waste Management and Recycling Association of Singapore,esg_reporting,589.0,294.5,459.42,229.71,4.5,22.0,39.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022014882,False
TGS-2022015489,PWM-Waste Management: Operate automated systems and follow safety procedures in waste sorting operations,Waste Management and Recycling Association of Singapore,esg_reporting,589.0,294.5,459.42,229.71,4.5,28.0,32.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022015489,False
TGS-2025054593,CoC in Residential Home Maintenance for Sustainability,Institute of Technical Education,esg_reporting,590.0,295.0,460.2,230.1,,,,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054593,False
