coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2023039593,Carbon Accounting & Management,Nanyang Polytechnic,carbon_accounting,235.0,70.5,183.3,54.99,4.0,12.0,23.0,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023039593,False
TGS-2024051436,Sustainability Reporting Learning Journey: Deep Dive into Carbon Management,Nanyang Polytechnic,carbon_accounting,300.0,90.0,234.0,70.2,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051436,False
TGS-2023021559,Food Waste Composting and Soil Health for Carbon Reduction,Temasek Polytechnic,carbon_accounting,350.0,105.0,273.0,81.9,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021559,False
TGS-2023021560,Life Cycle Analysis for Evaluating Carbon Footprint in Businesses,Temasek Polytechnic,carbon_accounting,350.0,105.0,273.0,81.9,4.0,14.0,15.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021560,False
TGS-2023021562,Carbon Management,Temasek Polytechnic,carbon_accounting,380.0,114.0,296.40000000000003,88.92,5.0,10.0,10.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021562,False
TGS-2025056023,"Certificate of Competency in Measurement, Reporting and Verification of Carbon Credits",Institute of Technical Education,carbon_accounting,410.0,123.0,319.8,95.94,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056023,False
TGS-2024051865,Decarbonising Journey for Businesses,SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051865,False
TGS-2024051866,Decarbonising Journey for Businesses (Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051866,False
TGS-2024051864,Decarbonising our Built Environment,SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051864,False
TGS-2024051861,Decarbonising our Built Environment (Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,480.0,144.0,374.40000000000003,112.32000000000001,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051861,False
TGS-2025052286,Carbon Management for SMEs,Ngee Ann Polytechnic,carbon_accounting,500.0,150.0,390.0,117.0,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052286,False
TGS-2022013700,Carbon Economy and Reporting,Republic Polytechnic,carbon_accounting,510.0,153.0,397.8,119.34,4.0,29.0,57.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022013700,False
TGS-2023039591,Reducing GHG Emissions Through Energy Management & Audit,Nanyang Polytechnic,carbon_accounting,525.0,157.5,409.5,122.85000000000001,4.5,10.0,11.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023039591,False
TGS-2023037553,CoC in Fundamentals of Carbon Reporting,Institute of Technical Education,carbon_accounting,560.0,168.0,436.8,131.04,4.0,66.0,103.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037553,False
TGS-2025052961,Greenhouse Gas Verification and Validation (ISO 14064-3:2019) leading to Greenhouse Gas Practitioner,SINGAPORE POLYTECHNIC,carbon_accounting,600.0,180.0,468.0,140.4,4.0,6.0,6.0,9.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052961,False
TGS-2025053612,Greenhouse Gas Verification and Validation (ISO 14064-3:2019) leading to Greenhouse Gas Practitioner (Synchronous e-learning)),SINGAPORE POLYTECHNIC,carbon_accounting,600.0,180.0,468.0,140.4,,,,9.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053612,False
TGS-2025052483,Managing Scope 3 Greenhouse Gases (GHG) Emissions in Supply Chain,NTUC LEARNINGHUB PTE. LTD.,carbon_accounting,600.0,300.0,468.0,234.0,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052483,False
TGS-2025052958,â€‹â€‹Greenhouse Gas Requirements (ISO 14064-1:2018) leading to Greenhouse Gas Practitionerâ€‹,SINGAPORE POLYTECHNIC,carbon_accounting,600.0,180.0,468.0,140.4,4.0,6.0,6.0,9.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052958,False
TGS-2025053611,â€‹â€‹Greenhouse Gas Requirements (ISO 14064-1:2018) leading to Greenhouse Gas Practitionerâ€‹ (Synchronous e-learning)),SINGAPORE POLYTECHNIC,carbon_accounting,600.0,180.0,468.0,140.4,,,,9.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053611,False
TGS-2025053780,The Carbon Reduction Roadmap: Guiding SMEs to Sustainability,ADEPT ACADEMY PTE. LTD.,carbon_accounting,630.0,315.0,491.40000000000003,245.70000000000002,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053780,False
TGS-2023040263,Carbon Footprint Management,INTELLISOFT TRAINING PTE. LTD.,carbon_accounting,720.0,360.0,561.6,280.8,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023040263,False
TGS-2023021099,Carbon Footprint Management for Sustainability,TERTIARY INFOTECH PTE. LTD.,carbon_accounting,720.0,360.0,561.6,280.8,4.5,31.0,35.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021099,False
TGS-2023020648,"Green Building Carbon Manager (Classroom, Synchronous & Asynchronous E-Learning)",Nanyang Polytechnic,carbon_accounting,740.0,222.0,577.2,173.16,,,,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023020648,False
TGS-2024048409,ISO 14064-1 and GHG Emissions Reporting (Scope 1 & 2) with Digital Technology,Temasek Polytechnic,carbon_accounting,750.0,225.0,585.0,175.5,4.5,34.0,52.0,12.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024048409,False
TGS-2024041802,Corporate Sustainability Reporting and Carbon Management (Classroom and Asynchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,840.0,252.0,655.2,196.56,4.0,6.0,12.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024041802,False
TGS-2023021532,Sustainability for Practitioners: Carbon Management and Strategies in Driving Net Zero,SINGAPORE POLYTECHNIC,carbon_accounting,840.0,252.0,655.2,196.56,4.5,107.0,131.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021532,False
TGS-2024051867,Business Value of Decarbonisation,SINGAPORE POLYTECHNIC,carbon_accounting,850.0,255.0,663.0,198.9,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051867,False
TGS-2024051863,Business Value of Decarbonisation (Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,850.0,255.0,663.0,198.9,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051863,False
TGS-2022012284,Introduction of New Energy Trends: From Carbon Capture to Hydrogen Economy,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,850.0,255.0,663.0,198.9,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022012284,False
TGS-2025056439,Introduction of New Energy Trends: From Carbon Capture to Hydrogen Economy,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,850.0,425.0,663.0,331.5,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056439,False
TGS-2022012274,Introduction of New Energy Trends: From Carbon Capture to Hydrogen Economy (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,850.0,255.0,663.0,198.9,,,16.0,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022012274,False
TGS-2025056438,Introduction of New Energy Trends: From Carbon Capture to Hydrogen Economy (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,850.0,425.0,663.0,331.5,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056438,False
TGS-2024050529,Performing Fundamental Greenhouse Gas Accounting Based on ISO 14064 - A Manufacturing Perspective,SINGAPORE POLYTECHNIC,carbon_accounting,850.0,255.0,663.0,198.9,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024050529,False
TGS-2023018173,"Certificate in Environmental, Social, and Governance (ESG) for Professionals in Banking and Finance - Fundamentals of Carbon Footprint and Decarbonisation",SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1000.0,300.0,780.0,234.0,4.0,81.0,96.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023018173,False
TGS-2023018070,"Certificate in Environmental, Social, and Governance (ESG) for Professionals in Banking and Finance - Fundamentals of Carbon Footprint and Decarbonisation (Synchronous E-Learning)",SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1000.0,300.0,780.0,234.0,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023018070,False
TGS-2024049991,Corporate Sustainability: Minimising Carbon Footprint with Eco-Friendly Business Practices,SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1000.0,300.0,780.0,234.0,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049991,False
TGS-2024049050,Corporate Sustainability: Minimising Carbon Footprint with Eco-Friendly Business Practices (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1000.0,300.0,780.0,234.0,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049050,False
TGS-2025055502,ISO 14064-1:2018 Greenhouse Gas (GHG) Emissions and Removals,TERTIARY INFOTECH PTE. LTD.,carbon_accounting,1000.0,500.0,780.0,390.0,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025055502,False
TGS-2023036593,Standards Adoption in Manufacturing Sustainability and Carbon Footprint Measurement,Temasek Polytechnic,carbon_accounting,1000.0,300.0,780.0,234.0,4.0,29.0,49.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023036593,False
TGS-2023022216,The Future of Zero-Carbon: from Buildings to Products and Logistics,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,carbon_accounting,1000.0,300.0,780.0,234.0,4.5,22.0,23.0,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023022216,False
TGS-2024049898,"Carbon Management, Circular Economy for Chemical industry & Life Cycle Assessment",NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1050.0,315.0,819.0,245.70000000000002,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049898,False
TGS-2025052968,Climate Change Management - Carbon Neutrality (ISO 14068-1:2023) leading to Greenhouse Gas Professional,SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,,,,18.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052968,False
TGS-2025052964,Climate Change Management - Carbon Neutrality (ISO 14068-1:2023) leading to Greenhouse Gas Professional (Classroom and Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,,,,18.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052964,False
TGS-2024051862,Decarbonisation Roadmap: Leadership Strategies for a Sustainable Future,SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,,,,20.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051862,False
TGS-2025052965,Quantifying the Carbon Footprint of Products (ISO 14067-1:2018) leading to Greenhouse Gas Professional,SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,,,,18.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052965,False
TGS-2025052970,Quantifying the Carbon Footprint of Products (ISO 14067-1:2018) leading to Greenhouse Gas Professional (Classroom and Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,,,,18.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052970,False
TGS-2025052966,â€‹â€‹Carbon Management Planning leading to Greenhouse Gas Practitionerâ€‹,SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,4.0,6.0,6.0,18.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052966,False
TGS-2025052963,â€‹â€‹Carbon Management Planning leading to Greenhouse Gas Practitionerâ€‹ (Classroom and Synchronous e-learning),SINGAPORE POLYTECHNIC,carbon_accounting,1200.0,360.0,936.0,280.8,,,,18.67,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052963,False
TGS-2023037430,Carbon Management - A Systematic Approach to Manage Greenhouse Gas Emissions,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,carbon_accounting,1400.0,420.0,1092.0,327.6,4.5,83.0,55.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037430,False
TGS-2025054978,"Decarbonisation, Circular Economy and Resource Management",Republic Polytechnic,carbon_accounting,1458.0,437.4,1137.24,341.17199999999997,,,,45.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054978,False
TGS-2025054979,Low-Carbon Transformation Capstone Project,Republic Polytechnic,carbon_accounting,1458.0,437.4,1137.24,341.17199999999997,,,,45.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054979,False
TGS-2023017960,Carbon Footprint Management,Republic Polytechnic,carbon_accounting,1498.5,449.55,1168.83,350.649,4.0,1.0,21.0,45.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023017960,False
TGS-2024044298,Carbon Footprint Management (Synchronous e-Learning),INNOHAT TRAINING PTE. LTD.,carbon_accounting,1500.0,750.0,1170.0,585.0,4.0,57.0,91.0,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024044298,False
TGS-2022014248,Module 2: Environmental & Carbon Management For A Sustainable Economy,SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1600.0,480.0,1248.0,374.40000000000003,4.0,352.0,443.0,17.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022014248,False
TGS-2025056103,Module 2: Environmental & Carbon Management For A Sustainable Economy,SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1600.0,800.0,1248.0,624.0,,,,17.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056103,False
TGS-2020502537,Module 2: Environmental & Carbon Management For A Sustainable Economy (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1600.0,480.0,1248.0,374.40000000000003,,,348.0,17.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2020502537,False
TGS-2024048379,Carbon Footprint Management,INNOHAT TRAINING PTE. LTD.,carbon_accounting,1700.0,850.0,1326.0,663.0,4.5,38.0,57.0,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024048379,False
TGS-2024049590,Carbon Market and Decarbonization Strategies Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,carbon_accounting,1750.0,525.0,1365.0,409.5,,,,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049590,False
TGS-2024042690,ISO 14064-1 & -2 Greenhouse Gases Implementer,TUV SUD PSB PTE. LTD.,carbon_accounting,1800.0,900.0,1404.0,702.0,4.5,9.0,9.0,26.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024042690,False
TGS-2023022214,Carbon Accounting for Enterprises,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,570.0,1482.0,444.6,4.5,59.0,58.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023022214,False
TGS-2022012253,Deep Decarbonisation : Principles and Analysis Tools,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,570.0,1482.0,444.6,4.0,185.0,231.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022012253,False
TGS-2025056435,Deep Decarbonisation : Principles and Analysis Tools,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,950.0,1482.0,741.0,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056435,False
TGS-2022012262,Deep Decarbonisation : Principles and Analysis Tools (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,570.0,1482.0,444.6,,,22.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022012262,False
TGS-2025056434,Deep Decarbonisation : Principles and Analysis Tools (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,950.0,1482.0,741.0,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056434,False
TGS-2024049570,Develop a Climate Change Transition Plan using Greenhouse gas (GHG) Accounting and Life Cycle Assessment (LCA) Methodology,Ngee Ann Polytechnic,carbon_accounting,1900.0,570.0,1482.0,444.6,,,,32.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049570,False
TGS-2022012322,Understanding Energy Systems for Decarbonisation,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,570.0,1482.0,444.6,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022012322,False
TGS-2025056417,Understanding Energy Systems for Decarbonisation,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,950.0,1482.0,741.0,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056417,False
TGS-2022012280,Understanding Energy Systems for Decarbonisation (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,570.0,1482.0,444.6,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022012280,False
TGS-2025056477,Understanding Energy Systems for Decarbonisation (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,1900.0,950.0,1482.0,741.0,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056477,False
TGS-2024046400,Carbon and Environmental Systems Management and the Future for Renewable Energies (Classroom and Synchronous),SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,1920.0,576.0,1497.6000000000001,449.28000000000003,4.0,59.0,61.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046400,False
TGS-2022016790,Introduction to ESG and Carbon Footprint Management,SINGAPORE INSTITUTE OF MANAGEMENT GROUP LIMITED,carbon_accounting,1950.0,585.0,1521.0,456.3,4.5,125.0,172.0,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022016790,False
TGS-2023021232,Introduction to Carbon Accounting: Carbon Emissions and Reporting for Corporations,SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,2000.0,600.0,1560.0,468.0,4.5,7.0,11.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021232,False
TGS-2023021237,Introduction to Carbon Accounting: Carbon Emissions and Reporting for Corporations (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,carbon_accounting,2000.0,600.0,1560.0,468.0,4.5,9.0,9.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021237,False
TGS-2023018580,Masterclass on Maritime Decarbonisation,SINGAPORE INSTITUTE OF TECHNOLOGY,carbon_accounting,2000.0,600.0,1560.0,468.0,4.5,28.0,74.0,17.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023018580,False
TGS-2024049041,Decarbonising Built Environment,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,2100.0,630.0,1638.0,491.40000000000003,,,,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049041,False
TGS-2024041292,Embodied Carbon and Life Cycle Assessment,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,2100.0,630.0,1638.0,491.40000000000003,4.5,27.0,28.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024041292,False
TGS-2025056144,Embodied Carbon and Life Cycle Assessment,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,2100.0,1050.0,1638.0,819.0,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056144,False
TGS-2025052197,Masterclass (2 days) Carbon Capture Utilisation and Storage,SINGAPORE INSTITUTE OF POWER AND GAS PTE. LTD.,carbon_accounting,2200.0,660.0,1716.0,514.8000000000001,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052197,False
TGS-2025056073,Navigating Policy Developments and Trends in Carbon Markets,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,2250.0,1125.0,1755.0,877.5,,,,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056073,False
TGS-2024043306,Navigating Policy Developments and Trends in Carbon Markets,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,2250.0,675.0,1755.0,526.5,4.5,49.0,53.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024043306,False
TGS-2024043975,"Module 4: Mapping Climate, Carbon, and Environmental Systems in Smart Building Management (Classroom, Synchronous and Asynchronous e-Learning)",NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,2500.0,750.0,1950.0,585.0,,,,28.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024043975,False
TGS-2023021479,goCMP (Carbon Management Programme),Republic Polytechnic,carbon_accounting,2500.0,750.0,1950.0,585.0,4.5,42.0,60.0,40.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021479,False
TGS-2024050736,Climate Policies and Carbon Markets,Singapore University of Social Sciences,carbon_accounting,2640.0,2640.0,2059.2000000000003,2059.2000000000003,,,,18.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024050736,False
TGS-2024048446,"Carbon Accounting, Management and Reporting",SINGAPORE INSTITUTE OF TECHNOLOGY,carbon_accounting,2700.0,810.0,2106.0,631.8000000000001,4.5,21.0,22.0,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024048446,False
TGS-2024051712,Enterprise Leadership for Transformation - Sustainability - Business Carbon Mgt,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,2850.0,855.0,2223.0,666.9,,,,20.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051712,False
TGS-2024051431,Carbon Accounting Fundamentals,NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,3000.0,900.0,2340.0,702.0,4.5,22.0,23.0,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051431,False
TGS-2024046305,"Carbon MRV, Corporate Insetting and Offsetting",NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,3000.0,900.0,2340.0,702.0,4.0,42.0,101.0,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046305,False
TGS-2024046744,Carbon Market and Trading,NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,3000.0,900.0,2340.0,702.0,4.5,38.0,112.0,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046744,False
TGS-2024046298,Climate Action and Essentials of Carbon Markets,NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,3000.0,900.0,2340.0,702.0,4.5,37.0,111.0,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046298,False
TGS-2024042582,"ISO 14064-1, -2 & -3 Greenhouse Gases Verifier",TUV SUD PSB PTE. LTD.,carbon_accounting,3000.0,1500.0,2340.0,1170.0,4.5,148.0,232.0,36.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024042582,False
TGS-2025054364,Carbon Management for Corporate Sustainability : The Key Skill for Leaders,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,3150.0,945.0,2457.0,737.1,,,,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054364,True
TGS-2024041291,Operational Carbon and Smart Facilities Management,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,3150.0,945.0,2457.0,737.1,4.5,23.0,31.0,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024041291,False
TGS-2025056147,Operational Carbon and Smart Facilities Management,NATIONAL UNIVERSITY OF SINGAPORE,carbon_accounting,3150.0,1575.0,2457.0,1228.5,,,,21.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025056147,False
TGS-2023040108,Greenhouse Gases (GHG) Emissions: Measurement and Management (Classroom & Asynchronous e-learning),NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,3250.0,975.0,2535.0,760.5,4.5,113.0,111.0,19.5,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023040108,True
TGS-2022016663,Carbon Neutrality-Solving the Energy Puzzle,NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,3300.0,990.0,2574.0,772.2,4.0,11.0,32.0,26.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022016663,False
TGS-2025054475,SDE5402 Carbon Accounting and Markets,SINGAPORE INSTITUTE OF TECHNOLOGY,carbon_accounting,3300.0,990.0,2574.0,772.2,,,,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054475,False
TGS-2022011680,Carbon Footprinting through LifeCyle Assessment (Classroom & Asynchronous),SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,carbon_accounting,4000.0,1200.0,3120.0,936.0,4.5,110.0,184.0,40.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022011680,False
TGS-2025054841,Certificate Programme in Carbon Credit Quality and Due Diligence,NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,4200.0,1260.0,3276.0,982.8000000000001,,,,28.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054841,False
TGS-2022014729,"Sustainable Finance, Carbon Management and Reporting for Sustainability",NANYANG TECHNOLOGICAL UNIVERSITY,carbon_accounting,4950.0,1485.0,3861.0,1158.3,4.5,375.0,546.0,35.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022014729,False
TGS-2023020746,Design and Performance Assessment of Low Carbon Buildings,SINGAPORE INSTITUTE OF TECHNOLOGY,carbon_accounting,5000.0,1500.0,3900.0,1170.0,4.0,7.0,14.0,40.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023020746,False
TGS-2023021930,Electric Vehicles and Charging Infrastructure for Decarbonisation of Land Transportation,SINGAPORE INSTITUTE OF TECHNOLOGY,carbon_accounting,5000.0,1500.0,3900.0,1170.0,4.0,36.0,47.0,40.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021930,False
